,AREA,CODE,COUNTRY NAME,ISO3
0,European Union (EU),BE ,Belgium,BGR
1,European Union (EU),BG ,Bulgaria,CYP
2,European Union (EU),CZ ,Czech Republic,DNK
3,European Union (EU),DK ,Denmark,IRL
4,European Union (EU),DE ,Germany,EST
5,European Union (EU),EE ,Estonia,AUT
6,European Union (EU),IE ,Ireland,CZE
7,European Union (EU),EL ,Greece,FIN
8,European Union (EU),ES ,Spain,FRA
9,European Union (EU),FR ,France,DEU
10,European Union (EU),HR ,Croatia,GRC
11,European Union (EU),IT ,Italy,HRV
12,European Union (EU),CY ,Cyprus,HUN
13,European Union (EU),LV ,Latvia,ISL
14,European Union (EU),LT ,Lithuania,ITA
15,European Union (EU),LU ,Luxembourg,LVA
16,European Union (EU),HU ,Hungary,LTU
17,European Union (EU),MT ,Malta,SVK
18,European Union (EU),NL ,Netherlands,LIE
19,European Union (EU),AT ,Austria,MLT
20,European Union (EU),PL ,Poland,BEL
21,European Union (EU),PT ,Portugal,LUX
22,European Union (EU),RO ,Romania,NLD
23,European Union (EU),SI ,Slovenia,NOR
24,European Union (EU),SK ,Slovakia,POL
25,European Union (EU),FI ,Finland,PRT
26,European Union (EU),SE ,Sweden,ROU
27,European Union (EU),UK ,United Kingdom,SVN
28,European Free Trade Association (EFTA),IS ,Iceland,ESP
29,European Free Trade Association (EFTA),LI ,Liechtenstein,SWE
30,European Free Trade Association (EFTA),NO ,Norway,CHE
31,European Free Trade Association (EFTA),CH ,Switzerland,GBR
