,Region,Variable,Var_uid,Year,Unit,Value
0,BGR,Canopy height,canopy_height,2020,Meters,17.097070693969727
0,CYP,Canopy height,canopy_height,2020,Meters,9.48450756072998
0,DNK,Canopy height,canopy_height,2020,Meters,18.07276153564453
0,IRL,Canopy height,canopy_height,2020,Meters,16.207054138183594
0,EST,Canopy height,canopy_height,2020,Meters,20.0635986328125
0,AUT,Canopy height,canopy_height,2020,Meters,20.460241317749023
0,CZE,Canopy height,canopy_height,2020,Meters,19.82831382751465
0,FIN,Canopy height,canopy_height,2020,Meters,19.259748458862305
0,FRA,Canopy height,canopy_height,2020,Meters,16.88187599182129
0,DEU,Canopy height,canopy_height,2020,Meters,20.269926071166992
0,GRC,Canopy height,canopy_height,2020,Meters,10.690534591674805
0,HRV,Canopy height,canopy_height,2020,Meters,18.741825103759766
0,HUN,Canopy height,canopy_height,2020,Meters,17.258085250854492
0,ISL,Canopy height,canopy_height,2020,Meters,
0,ITA,Canopy height,canopy_height,2020,Meters,14.822790145874023
0,LVA,Canopy height,canopy_height,2020,Meters,19.84176254272461
0,LTU,Canopy height,canopy_height,2020,Meters,19.636560440063477
0,SVK,Canopy height,canopy_height,2020,Meters,20.5098819732666
0,LIE,Canopy height,canopy_height,2020,Meters,18.938695907592773
0,MLT,Canopy height,canopy_height,2020,Meters,5.916666507720947
0,BEL,Canopy height,canopy_height,2020,Meters,18.544912338256836
0,LUX,Canopy height,canopy_height,2020,Meters,20.317052841186523
0,NLD,Canopy height,canopy_height,2020,Meters,17.247177124023438
0,NOR,Canopy height,canopy_height,2020,Meters,20.174522399902344
0,POL,Canopy height,canopy_height,2020,Meters,19.03644561767578
0,PRT,Canopy height,canopy_height,2020,Meters,9.21022891998291
0,ROU,Canopy height,canopy_height,2020,Meters,20.227886199951172
0,SVN,Canopy height,canopy_height,2020,Meters,22.29575538635254
0,ESP,Canopy height,canopy_height,2020,Meters,10.242086410522461
0,SWE,Canopy height,canopy_height,2020,Meters,20.193086624145508
0,CHE,Canopy height,canopy_height,2020,Meters,19.42002296447754
0,GBR,Canopy height,canopy_height,2020,Meters,16.278108596801758
0,BGR,Canopy height >0 to <= 5.0,canopy_height,2020,Percentage share,0.017284058899682944
