,Region,Variable,Year,Unit,Value
0,BGR,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.05268468489365496
1,BGR,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.033585199983183114
2,BGR,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.032259058283547144
3,BGR,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.022388562779888748
4,BGR,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.018151723078127468
5,BGR,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.015783224579324222
6,BGR,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.011197724501763597
7,BGR,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.012033132158954338
8,BGR,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.008273616485184472
9,BGR,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.017620758992320774
0,CYP,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.0
1,CYP,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.0
2,CYP,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.0
3,CYP,Disturbance_intensity >0.3 to <= 0.4,2020,Percentage share,0.0
4,CYP,Disturbance_intensity >0.4 to <= 0.5,2020,Percentage share,0.0
5,CYP,Disturbance_intensity >0.5 to <= 0.6,2020,Percentage share,0.0
6,CYP,Disturbance_intensity >0.6 to <= 0.7,2020,Percentage share,0.0
7,CYP,Disturbance_intensity >0.7 to <= 0.8,2020,Percentage share,0.0
8,CYP,Disturbance_intensity >0.8 to <= 0.9,2020,Percentage share,0.0
9,CYP,Disturbance_intensity >0.9 to <= 1.0,2020,Percentage share,0.0
0,DNK,Disturbance_intensity >0 to <= 0.1,2020,Percentage share,0.09083677330581356
1,DNK,Disturbance_intensity >0.1 to <= 0.2,2020,Percentage share,0.06390465542942324
2,DNK,Disturbance_intensity >0.2 to <= 0.3,2020,Percentage share,0.06269110958223445
