,Region,Variable,Year,Unit,Value
0,BGR,Disturbance Year,1986,Percentage share,0.004435090455983983
1,BGR,Disturbance Year,1987,Percentage share,0.005236791860628632
2,BGR,Disturbance Year,1988,Percentage share,0.005670623949850895
3,BGR,Disturbance Year,1989,Percentage share,0.004959893183798383
4,BGR,Disturbance Year,1990,Percentage share,0.005109940372551947
5,BGR,Disturbance Year,1991,Percentage share,0.004274532715361208
6,BGR,Disturbance Year,1992,Percentage share,0.005139297431221123
7,BGR,Disturbance Year,1993,Percentage share,0.005300217604666975
8,BGR,Disturbance Year,1994,Percentage share,0.004767441354744898
9,BGR,Disturbance Year,1995,Percentage share,0.0031683877393325144
10,BGR,Disturbance Year,1996,Percentage share,0.007224373462378747
11,BGR,Disturbance Year,1997,Percentage share,0.0056637377262124455
12,BGR,Disturbance Year,1998,Percentage share,0.006126926874103884
13,BGR,Disturbance Year,1999,Percentage share,0.0047080023717603935
14,BGR,Disturbance Year,2000,Percentage share,0.007886175797315967
15,BGR,Disturbance Year,2001,Percentage share,0.0056572139353970735
16,BGR,Disturbance Year,2002,Percentage share,0.0038019203140697865
17,BGR,Disturbance Year,2003,Percentage share,0.004178125584422927
18,BGR,Disturbance Year,2004,Percentage share,0.005548121655651125
19,BGR,Disturbance Year,2005,Percentage share,0.0072022650601710975
20,BGR,Disturbance Year,2006,Percentage share,0.00905502165173685
21,BGR,Disturbance Year,2007,Percentage share,0.011147346339355999
22,BGR,Disturbance Year,2008,Percentage share,0.006173318275457643
23,BGR,Disturbance Year,2009,Percentage share,0.006613311722672202
24,BGR,Disturbance Year,2010,Percentage share,0.003960303457754105
25,BGR,Disturbance Year,2011,Percentage share,0.007214225343332613
26,BGR,Disturbance Year,2012,Percentage share,0.01579808432507035
27,BGR,Disturbance Year,2013,Percentage share,0.008154013653569311
28,BGR,Disturbance Year,2014,Percentage share,0.005557907341874183
29,BGR,Disturbance Year,2015,Percentage share,0.015403757413563394
30,BGR,Disturbance Year,2016,Percentage share,0.004755118638760305
31,BGR,Disturbance Year,2017,Percentage share,0.004628992016329773
32,BGR,Disturbance Year,2018,Percentage share,0.004939596945706113
33,BGR,Disturbance Year,2019,Percentage share,0.006361420910634214
34,BGR,Disturbance Year,2020,Percentage share,0.008156188250507767
0,CYP,Disturbance Year,1986,Percentage share,0.0
1,CYP,Disturbance Year,1987,Percentage share,0.0
2,CYP,Disturbance Year,1988,Percentage share,0.0
3,CYP,Disturbance Year,1989,Percentage share,0.0
4,CYP,Disturbance Year,1990,Percentage share,0.0
5,CYP,Disturbance Year,1991,Percentage share,0.0
6,CYP,Disturbance Year,1992,Percentage share,0.0
7,CYP,Disturbance Year,1993,Percentage share,0.0
8,CYP,Disturbance Year,1994,Percentage share,0.0
9,CYP,Disturbance Year,1995,Percentage share,0.0
10,CYP,Disturbance Year,1996,Percentage share,0.0
11,CYP,Disturbance Year,1997,Percentage share,0.0
12,CYP,Disturbance Year,1998,Percentage share,0.0
13,CYP,Disturbance Year,1999,Percentage share,0.0
14,CYP,Disturbance Year,2000,Percentage share,0.0
15,CYP,Disturbance Year,2001,Percentage share,0.0
16,CYP,Disturbance Year,2002,Percentage share,0.0
17,CYP,Disturbance Year,2003,Percentage share,0.0
18,CYP,Disturbance Year,2004,Percentage share,0.0
19,CYP,Disturbance Year,2005,Percentage share,0.0
20,CYP,Disturbance Year,2006,Percentage share,0.0
21,CYP,Disturbance Year,2007,Percentage share,0.0
22,CYP,Disturbance Year,2008,Percentage share,0.0
23,CYP,Disturbance Year,2009,Percentage share,0.0
24,CYP,Disturbance Year,2010,Percentage share,0.0
25,CYP,Disturbance Year,2011,Percentage share,0.0
26,CYP,Disturbance Year,2012,Percentage share,0.0
27,CYP,Disturbance Year,2013,Percentage share,0.0
28,CYP,Disturbance Year,2014,Percentage share,0.0
29,CYP,Disturbance Year,2015,Percentage share,0.0
30,CYP,Disturbance Year,2016,Percentage share,0.0
31,CYP,Disturbance Year,2017,Percentage share,0.0
32,CYP,Disturbance Year,2018,Percentage share,0.0
33,CYP,Disturbance Year,2019,Percentage share,0.0
34,CYP,Disturbance Year,2020,Percentage share,0.0
0,DNK,Disturbance Year,1986,Percentage share,0.010291251003325308
1,DNK,Disturbance Year,1987,Percentage share,0.00825832282230631
2,DNK,Disturbance Year,1988,Percentage share,0.012804342009708368
3,DNK,Disturbance Year,1989,Percentage share,0.015816706799678937
4,DNK,Disturbance Year,1990,Percentage share,0.017455471467339372
5,DNK,Disturbance Year,1991,Percentage share,0.013372893016855864
6,DNK,Disturbance Year,1992,Percentage share,0.013363337537744144
7,DNK,Disturbance Year,1993,Percentage share,0.011177521690937584
8,DNK,Disturbance Year,1994,Percentage share,0.010785747047356955
9,DNK,Disturbance Year,1995,Percentage share,0.011758017046974736
10,DNK,Disturbance Year,1996,Percentage share,0.01162662920918855
11,DNK,Disturbance Year,1997,Percentage share,0.01029363987310324
12,DNK,Disturbance Year,1998,Percentage share,0.008587986851660743
13,DNK,Disturbance Year,1999,Percentage share,0.010198085081986013
14,DNK,Disturbance Year,2000,Percentage share,0.06117895501280435
15,DNK,Disturbance Year,2001,Percentage share,0.006220616901731453
16,DNK,Disturbance Year,2002,Percentage share,0.008979761495241372
17,DNK,Disturbance Year,2003,Percentage share,0.008052880021404273
18,DNK,Disturbance Year,2004,Percentage share,0.015014046554294232
19,DNK,Disturbance Year,2005,Percentage share,0.03719948018193633
20,DNK,Disturbance Year,2006,Percentage share,0.014154053434239193
21,DNK,Disturbance Year,2007,Percentage share,0.015790429232121702
22,DNK,Disturbance Year,2008,Percentage share,0.0182987424989489
23,DNK,Disturbance Year,2009,Percentage share,0.013387226235523448
24,DNK,Disturbance Year,2010,Percentage share,0.014971046898291481
25,DNK,Disturbance Year,2011,Percentage share,0.013172227955509689
26,DNK,Disturbance Year,2012,Percentage share,0.013091006383060046
27,DNK,Disturbance Year,2013,Percentage share,0.013970110461338532
28,DNK,Disturbance Year,2014,Percentage share,0.016784199059740858
29,DNK,Disturbance Year,2015,Percentage share,0.007381607613805756
30,DNK,Disturbance Year,2016,Percentage share,0.008850762527233116
31,DNK,Disturbance Year,2017,Percentage share,0.011077189160264496
32,DNK,Disturbance Year,2018,Percentage share,0.012474677980353935
33,DNK,Disturbance Year,2019,Percentage share,0.009127871421473073
34,DNK,Disturbance Year,2020,Percentage share,0.010334250659328059
0,IRL,Disturbance Year,1986,Percentage share,0.02457759068104492
1,IRL,Disturbance Year,1987,Percentage share,0.01716394671587567
2,IRL,Disturbance Year,1988,Percentage share,0.006860042673432905
3,IRL,Disturbance Year,1989,Percentage share,0.007838071622167118
4,IRL,Disturbance Year,1990,Percentage share,0.008892220748515079
5,IRL,Disturbance Year,1991,Percentage share,0.011125079291851681
6,IRL,Disturbance Year,1992,Percentage share,0.0197635661149876
7,IRL,Disturbance Year,1993,Percentage share,0.0066639755492762815
8,IRL,Disturbance Year,1994,Percentage share,0.005349172481402456
9,IRL,Disturbance Year,1995,Percentage share,0.006728562366645522
10,IRL,Disturbance Year,1996,Percentage share,0.015593103050573785
11,IRL,Disturbance Year,1997,Percentage share,0.014442073698171963
12,IRL,Disturbance Year,1998,Percentage share,0.011851680987255638
13,IRL,Disturbance Year,1999,Percentage share,0.016755665763220115
14,IRL,Disturbance Year,2000,Percentage share,0.014972608269419296
15,IRL,Disturbance Year,2001,Percentage share,0.014751167752724757
16,IRL,Disturbance Year,2002,Percentage share,0.021973357937835187
17,IRL,Disturbance Year,2003,Percentage share,0.014944928204832479
18,IRL,Disturbance Year,2004,Percentage share,0.014698114295600024
19,IRL,Disturbance Year,2005,Percentage share,0.014229859869673029
20,IRL,Disturbance Year,2006,Percentage share,0.015023355054495126
21,IRL,Disturbance Year,2007,Percentage share,0.013572458335736119
22,IRL,Disturbance Year,2008,Percentage share,0.011787094169886396
23,IRL,Disturbance Year,2009,Percentage share,0.006481748457413067
24,IRL,Disturbance Year,2010,Percentage share,0.012121561616977106
25,IRL,Disturbance Year,2011,Percentage share,0.005893547084943198
26,IRL,Disturbance Year,2012,Percentage share,0.005314572400668935
27,IRL,Disturbance Year,2013,Percentage share,0.003960555907963785
28,IRL,Disturbance Year,2014,Percentage share,0.0073951905887780405
29,IRL,Disturbance Year,2015,Percentage share,0.005333025777060146
30,IRL,Disturbance Year,2016,Percentage share,0.0035038348422812985
31,IRL,Disturbance Year,2017,Percentage share,0.005215385502566173
32,IRL,Disturbance Year,2018,Percentage share,0.007683524594890722
33,IRL,Disturbance Year,2019,Percentage share,0.010809065221152183
34,IRL,Disturbance Year,2020,Percentage share,0.015892970416930975
0,EST,Disturbance Year,1986,Percentage share,0.008563835288721405
1,EST,Disturbance Year,1987,Percentage share,0.006088309492438517
2,EST,Disturbance Year,1988,Percentage share,0.008296721333591155
3,EST,Disturbance Year,1989,Percentage share,0.006023554594225123
4,EST,Disturbance Year,1990,Percentage share,0.0058113024278589965
5,EST,Disturbance Year,1991,Percentage share,0.005996573386636207
6,EST,Disturbance Year,1992,Percentage share,0.005451552993340139
7,EST,Disturbance Year,1993,Percentage share,0.004176690934763937
8,EST,Disturbance Year,1994,Percentage share,0.005956101575252836
9,EST,Disturbance Year,1995,Percentage share,0.005722714129608727
10,EST,Disturbance Year,1996,Percentage share,0.007602854611762906
11,EST,Disturbance Year,1997,Percentage share,0.010421491431218156
12,EST,Disturbance Year,1998,Percentage share,0.015467876623931431
13,EST,Disturbance Year,1999,Percentage share,0.015092388151652375
14,EST,Disturbance Year,2000,Percentage share,0.017394784532573062
15,EST,Disturbance Year,2001,Percentage share,0.01622829699114567
16,EST,Disturbance Year,2002,Percentage share,0.020830391632228155
17,EST,Disturbance Year,2003,Percentage share,0.017130368698201705
18,EST,Disturbance Year,2004,Percentage share,0.014689918471784403
19,EST,Disturbance Year,2005,Percentage share,0.01298065897102668
20,EST,Disturbance Year,2006,Percentage share,0.012674871951685651
21,EST,Disturbance Year,2007,Percentage share,0.010268597921547643
22,EST,Disturbance Year,2008,Percentage share,0.013274304446952698
23,EST,Disturbance Year,2009,Percentage share,0.010444875144461883
24,EST,Disturbance Year,2010,Percentage share,0.015603232348669152
25,EST,Disturbance Year,2011,Percentage share,0.019180041101372895
26,EST,Disturbance Year,2012,Percentage share,0.01898622609352586
27,EST,Disturbance Year,2013,Percentage share,0.01797173268818268
28,EST,Disturbance Year,2014,Percentage share,0.019123380565436172
29,EST,Disturbance Year,2015,Percentage share,0.01743075947602495
30,EST,Disturbance Year,2016,Percentage share,0.017994666714633258
31,EST,Disturbance Year,2017,Percentage share,0.018694379364772435
32,EST,Disturbance Year,2018,Percentage share,0.017390737351434725
33,EST,Disturbance Year,2019,Percentage share,0.017703719359466134
34,EST,Disturbance Year,2020,Percentage share,0.016804795459962135
0,AUT,Disturbance Year,1986,Percentage share,0.005458283448560217
1,AUT,Disturbance Year,1987,Percentage share,0.007074213297776731
2,AUT,Disturbance Year,1988,Percentage share,0.008836916941985708
3,AUT,Disturbance Year,1989,Percentage share,0.008783028978606834
4,AUT,Disturbance Year,1990,Percentage share,0.016431574517658414
5,AUT,Disturbance Year,1991,Percentage share,0.006281847520462358
6,AUT,Disturbance Year,1992,Percentage share,0.010182343396083267
7,AUT,Disturbance Year,1993,Percentage share,0.0060070898124450715
8,AUT,Disturbance Year,1994,Percentage share,0.00853769693480301
9,AUT,Disturbance Year,1995,Percentage share,0.007688961511585735
10,AUT,Disturbance Year,1996,Percentage share,0.013076339745173748
11,AUT,Disturbance Year,1997,Percentage share,0.008991135784550252
12,AUT,Disturbance Year,1998,Percentage share,0.015057076925422252
13,AUT,Disturbance Year,1999,Percentage share,0.011325689987510048
14,AUT,Disturbance Year,2000,Percentage share,0.013399667525446997
15,AUT,Disturbance Year,2001,Percentage share,0.010495744446260407
16,AUT,Disturbance Year,2002,Percentage share,0.01288170493007505
17,AUT,Disturbance Year,2003,Percentage share,0.018020560385185493
18,AUT,Disturbance Year,2004,Percentage share,0.011834434904935607
19,AUT,Disturbance Year,2005,Percentage share,0.017258683850309167
20,AUT,Disturbance Year,2006,Percentage share,0.021289999847553788
21,AUT,Disturbance Year,2007,Percentage share,0.025262464516371486
22,AUT,Disturbance Year,2008,Percentage share,0.01875265672977349
23,AUT,Disturbance Year,2009,Percentage share,0.011611083477773166
24,AUT,Disturbance Year,2010,Percentage share,0.015390331435791606
25,AUT,Disturbance Year,2011,Percentage share,0.019447882362575945
26,AUT,Disturbance Year,2012,Percentage share,0.016752420615407635
27,AUT,Disturbance Year,2013,Percentage share,0.017777355497830834
28,AUT,Disturbance Year,2014,Percentage share,0.014871659788269938
29,AUT,Disturbance Year,2015,Percentage share,0.013945637680732963
30,AUT,Disturbance Year,2016,Percentage share,0.007498226483310508
31,AUT,Disturbance Year,2017,Percentage share,0.016052586143631985
32,AUT,Disturbance Year,2018,Percentage share,0.014964900145958386
33,AUT,Disturbance Year,2019,Percentage share,0.02778101775218415
34,AUT,Disturbance Year,2020,Percentage share,0.013493616935285165
0,CZE,Disturbance Year,1986,Percentage share,0.017055704051414194
1,CZE,Disturbance Year,1987,Percentage share,0.012631843250106401
2,CZE,Disturbance Year,1988,Percentage share,0.01462229123668657
