,Region,Variable,Var_uid,Year,Unit,Value
0,BGR,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.4624294886942705
1,BGR,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.5006730377524525
2,BGR,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.016314188665130916
3,BGR,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.0
4,BGR,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,BGR,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,CYP,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.7528865760142109
1,CYP,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.16445039342498655
2,CYP,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.0
3,CYP,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.0
4,CYP,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,CYP,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,DNK,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.5052817910790047
1,DNK,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.3323180636777128
2,DNK,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.13509058594197915
3,DNK,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.0148946030653977
4,DNK,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,DNK,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,IRL,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.3792284181996425
1,IRL,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.3739830459604406
2,IRL,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.020718528343232803
3,IRL,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.0
4,IRL,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,IRL,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,EST,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.3141053256406912
1,EST,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.44557260867805576
2,EST,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.22058441295637587
3,EST,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.013394370820723365
4,EST,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,EST,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,AUT,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.2526076279121215
1,AUT,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.2934447774232123
2,AUT,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.24367144366917473
3,AUT,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.1409687850426867
4,AUT,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.04324331798117254
5,AUT,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.00033857240149227116
0,CZE,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.2527998048283611
1,CZE,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.24600530311259586
2,CZE,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.25928979604919894
3,CZE,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.17621185382783938
4,CZE,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.048496857843460243
5,CZE,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.00024975202873439383
0,FIN,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.7388298333829352
1,FIN,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.25440475091780584
2,FIN,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.00040402987721224824
3,FIN,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.0
4,FIN,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,FIN,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,FRA,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.47354127628934367
1,FRA,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.2976909388048997
2,FRA,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.15442003985746564
3,FRA,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.03514024881150481
4,FRA,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0031455789679581125
5,FRA,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,3.880149791499531e-05
0,DEU,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.25025604385092115
1,DEU,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.2936045515543956
2,DEU,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.26057054406683566
3,DEU,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.13369018234645882
4,DEU,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.034055912951035765
5,DEU,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0017362880748691136
0,GRC,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.6604976721670914
1,GRC,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.23992945313723535
2,GRC,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.0014166322593504848
3,GRC,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.0
4,GRC,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,GRC,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,HRV,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.47102733058465873
1,HRV,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.45180754970081094
2,HRV,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.06442452842042155
3,HRV,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.0
4,HRV,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,0.0
5,HRV,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,HUN,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,0.4136729109841051
1,HUN,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,0.3562865485619928
2,HUN,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,0.17500069455179326
3,HUN,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,0.017955766667640226
4,HUN,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,5.413942183371647e-05
5,HUN,Forest agb >500 to <= 600,forest_agb,2020,Percentage share,0.0
0,ISL,Forest agb >0 to <= 100,forest_agb,2020,Percentage share,
1,ISL,Forest agb >100 to <= 200,forest_agb,2020,Percentage share,
2,ISL,Forest agb >200 to <= 300,forest_agb,2020,Percentage share,
3,ISL,Forest agb >300 to <= 400,forest_agb,2020,Percentage share,
4,ISL,Forest agb >400 to <= 500,forest_agb,2020,Percentage share,
