,Region,Variable,Var_uid,Unit,Year,Value
0,BGR,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,0.0
1,BGR,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,7.248656461524856e-07
2,BGR,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,4.929086393836902e-05
3,BGR,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.0013174433118821427
4,BGR,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.011601112233847457
5,BGR,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.03356417887944469
6,BGR,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.04440998111000126
7,BGR,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.05068949220262024
8,BGR,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.061370025065854046
9,BGR,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.7970013757949963
0,CYP,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,0.0
1,CYP,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,0.0
2,CYP,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,0.00016262400080061047
3,CYP,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.00341510401681282
4,CYP,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.02664531705425387
5,CYP,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.07664594253118003
6,CYP,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.09663618509113199
7,CYP,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.10683145898747796
8,CYP,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.1159634221093584
9,CYP,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.534382466630806
0,DNK,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,3.822191644689065e-05
1,DNK,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,2.627756755723732e-05
2,DNK,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,9.07770515613653e-05
3,DNK,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.001306711768528074
4,DNK,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.019689064709704544
5,DNK,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.07648683254978404
6,DNK,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.09895654168099989
7,DNK,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.10282651072124757
8,DNK,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.1127140427321026
9,DNK,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.5879940182700761
0,IRL,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,2.3066720489014473e-06
1,IRL,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,0.0
2,IRL,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,5.074678507583184e-05
3,IRL,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.0014439767026123063
