,Region,Variable,Var_uid,Year,Unit,Value
0,BGR,Forest cover,forest_cover,2020,Million hectares,2.759132
0,CYP,Forest cover,forest_cover,2020,Million hectares,0.079939
0,DNK,Forest cover,forest_cover,2020,Million hectares,0.418608
0,IRL,Forest cover,forest_cover,2020,Million hectares,0.433525
0,EST,Forest cover,forest_cover,2020,Million hectares,2.22377
0,AUT,Forest cover,forest_cover,2020,Million hectares,2.820667
0,CZE,Forest cover,forest_cover,2020,Million hectares,2.246228
0,FIN,Forest cover,forest_cover,2020,Million hectares,23.144328
0,FRA,Forest cover,forest_cover,2020,Million hectares,11.288224
0,DEU,Forest cover,forest_cover,2020,Million hectares,9.251345
0,GRC,Forest cover,forest_cover,2020,Million hectares,2.80948
0,HRV,Forest cover,forest_cover,2020,Million hectares,1.671351
0,HUN,Forest cover,forest_cover,2020,Million hectares,1.403783
0,ISL,Forest cover,forest_cover,2020,Million hectares,0.0
0,ITA,Forest cover,forest_cover,2020,Million hectares,6.163415
0,LVA,Forest cover,forest_cover,2020,Million hectares,2.939606
0,LTU,Forest cover,forest_cover,2020,Million hectares,1.907555
0,SVK,Forest cover,forest_cover,2020,Million hectares,1.725617
0,LIE,Forest cover,forest_cover,2020,Million hectares,0.005639
0,MLT,Forest cover,forest_cover,2020,Million hectares,1e-05
0,BEL,Forest cover,forest_cover,2020,Million hectares,0.670364
0,LUX,Forest cover,forest_cover,2020,Million hectares,0.075956
0,NLD,Forest cover,forest_cover,2020,Million hectares,0.341773
0,NOR,Forest cover,forest_cover,2020,Million hectares,8.932892
0,POL,Forest cover,forest_cover,2020,Million hectares,8.301796
0,PRT,Forest cover,forest_cover,2020,Million hectares,1.267056
0,ROU,Forest cover,forest_cover,2020,Million hectares,5.527724
0,SVN,Forest cover,forest_cover,2020,Million hectares,0.934041
0,ESP,Forest cover,forest_cover,2020,Million hectares,6.926512
0,SWE,Forest cover,forest_cover,2020,Million hectares,26.709076
0,CHE,Forest cover,forest_cover,2020,Million hectares,0.934536
0,GBR,Forest cover,forest_cover,2020,Million hectares,1.801935
