,Region,Variable,Var_uid,Unit,Year,Value
0,BGR,Forest fragment,forest_fragment,Percentage share,2020,0.5003826384529627
0,CYP,Forest fragment,forest_fragment,Percentage share,2020,0.43916489252742724
0,DNK,Forest fragment,forest_fragment,Percentage share,2020,0.07050571384057401
0,IRL,Forest fragment,forest_fragment,Percentage share,2020,0.06790669511562193
0,EST,Forest fragment,forest_fragment,Percentage share,2020,0.465312875207418
0,AUT,Forest fragment,forest_fragment,Percentage share,2020,0.6179145748151058
0,CZE,Forest fragment,forest_fragment,Percentage share,2020,0.5306568945806036
0,FIN,Forest fragment,forest_fragment,Percentage share,2020,0.4715248159289827
0,FRA,Forest fragment,forest_fragment,Percentage share,2020,0.5150487800383834
0,DEU,Forest fragment,forest_fragment,Percentage share,2020,0.5106758530786604
0,GRC,Forest fragment,forest_fragment,Percentage share,2020,0.5067293591696683
0,HRV,Forest fragment,forest_fragment,Percentage share,2020,0.49716703732489465
0,HUN,Forest fragment,forest_fragment,Percentage share,2020,0.34091767566639575
0,ISL,Forest fragment,forest_fragment,Percentage share,2020,
0,ITA,Forest fragment,forest_fragment,Percentage share,2020,0.5982040800432877
0,LVA,Forest fragment,forest_fragment,Percentage share,2020,0.49967372328128323
0,LTU,Forest fragment,forest_fragment,Percentage share,2020,0.3504610286466183
0,SVK,Forest fragment,forest_fragment,Percentage share,2020,0.5057164336002717
0,LIE,Forest fragment,forest_fragment,Percentage share,2020,0.7966964513322399
0,MLT,Forest fragment,forest_fragment,Percentage share,2020,0.0
0,BEL,Forest fragment,forest_fragment,Percentage share,2020,0.5600776686248069
0,LUX,Forest fragment,forest_fragment,Percentage share,2020,0.5976024050930803
0,NLD,Forest fragment,forest_fragment,Percentage share,2020,0.34065778400429525
0,NOR,Forest fragment,forest_fragment,Percentage share,2020,0.42478457704403005
0,POL,Forest fragment,forest_fragment,Percentage share,2020,0.41183097609240216
0,PRT,Forest fragment,forest_fragment,Percentage share,2020,0.6047989887581923
0,ROU,Forest fragment,forest_fragment,Percentage share,2020,0.48253444817432994
0,SVN,Forest fragment,forest_fragment,Percentage share,2020,0.6041445182813174
0,ESP,Forest fragment,forest_fragment,Percentage share,2020,0.5580909265731439
0,SWE,Forest fragment,forest_fragment,Percentage share,2020,0.48324734258871405
0,CHE,Forest fragment,forest_fragment,Percentage share,2020,0.5775325937149559
0,GBR,Forest fragment,forest_fragment,Percentage share,2020,0.17570079178771708
