,Region,Variable,Var_uid,Year,Unit,Value
0,BGR,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.13227859375
0,CYP,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0016158580322265625
0,DNK,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.00028286697387695315
0,IRL,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.00199972216796875
0,EST,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.015507880859375
0,AUT,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.003468816162109375
0,CZE,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.01702951953125
0,FIN,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.637299625
0,FRA,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.1819404375
0,DEU,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0741635390625
0,GRC,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0242514375
0,HRV,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0715175
0,HUN,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.025559451171875
0,ISL,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,0.0
0,ITA,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0593354921875
0,LVA,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0700918046875
0,LTU,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.04205522265625
0,SVK,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.019689681640625
0,LIE,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-3.2138004302978516e-05
0,MLT,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,0.0
0,BEL,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.00104306591796875
0,LUX,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.00037834396362304687
0,NLD,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0008715242309570312
0,NOR,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.155522328125
0,POL,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.202986625
0,PRT,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-7.590900421142579e-05
0,ROU,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.31229121875
0,SVN,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0137323291015625
0,ESP,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0339285546875
0,SWE,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.47063625
0,CHE,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.006934734375
0,GBR,Forest fragment decrease,forest_fragment_decrease,2020,Million hectares,-0.0089014482421875
0,BGR,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.04794210416536795
0,CYP,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.020213638302037335
0,DNK,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.0006757323650693564
0,IRL,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.004612703230422121
0,EST,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.006973689212182465
0,AUT,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.0012297857783670938
0,CZE,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.0075813851181847965
0,FIN,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.02753588805862067
0,FRA,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.01611772033404015
0,DEU,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.008016514254143587
0,GRC,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.008632002185457807
0,HRV,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.042790233768968934
0,HUN,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.018207551432005517
0,ISL,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,
0,ITA,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.009627048022484288
0,LVA,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.02384394530678601
0,LTU,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.022046663218753853
0,SVK,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.01141022697425037
0,LIE,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.0056992382165239434
0,MLT,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,0.0
0,BEL,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.0015559694702710022
0,LUX,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.0049810938388415256
0,NLD,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.002550009014629685
0,NOR,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.0174100759446101
0,POL,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.024450929051978633
0,PRT,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-5.9909746855250115e-05
0,ROU,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.05649544346823394
0,SVN,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.014702062437904223
0,ESP,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.004898360774874858
0,SWE,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.017620836078342805
0,CHE,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.007420510686586713
0,GBR,Forest fragment decrease,forest_fragment_decrease,2020,Percentage share,-0.004939938589453837
