,Region,Variable,Var_uid,Year,Unit,Value
0,BGR,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0002465449829101562
0,CYP,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0
0,DNK,Forest fragment increase,forest_fragment_increase,2020,Million hectares,4.6248992919921876e-05
0,IRL,Forest fragment increase,forest_fragment_increase,2020,Million hectares,9.000001102685928e-08
0,EST,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0145535888671875
0,AUT,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.03705616015625
0,CZE,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.02571015234375
0,FIN,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.062007765625
0,FRA,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.018429470703125
0,DEU,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.072011625
0,GRC,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00749648046875
0,HRV,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00016312504577636717
0,HUN,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0005340315551757812
0,ISL,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0
0,ITA,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.022509791015625
0,LVA,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00460303662109375
0,LTU,Forest fragment increase,forest_fragment_increase,2020,Million hectares,1.641299819946289e-05
0,SVK,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.01609014453125
0,LIE,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0
0,MLT,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0
0,BEL,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00284845654296875
0,LUX,Forest fragment increase,forest_fragment_increase,2020,Million hectares,1.0789000511169433e-05
0,NLD,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0003936689453125
0,NOR,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0685477265625
0,POL,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00617155517578125
0,PRT,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00729654052734375
0,ROU,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.000432783935546875
0,SVN,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00197172412109375
0,ESP,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.026677625
0,SWE,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.236639546875
0,CHE,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.00107967041015625
0,GBR,Forest fragment increase,forest_fragment_increase,2020,Million hectares,0.0004982644653320313
0,BGR,Forest fragment increase,forest_fragment_increase,2020,Percentage share,8.935599417141196e-05
0,CYP,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0
0,DNK,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0001104828214461307
0,IRL,Forest fragment increase,forest_fragment_increase,2020,Percentage share,2.0760050983647836e-07
0,EST,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.006544556706488305
0,AUT,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.01313737500961652
0,CZE,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.011445922828737779
0,FIN,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.002679177620754424
0,FRA,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0016326280115565566
0,DEU,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.00778390871813774
0,GRC,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.002668280417995501
0,HRV,Forest fragment increase,forest_fragment_increase,2020,Percentage share,9.7600710907743e-05
0,HUN,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.00038042315313391116
0,ISL,Forest fragment increase,forest_fragment_increase,2020,Percentage share,
0,ITA,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0036521621561463897
0,LVA,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.001565868562349427
0,LTU,Forest fragment increase,forest_fragment_increase,2020,Percentage share,8.604207060589546e-06
0,SVK,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.009324284897083188
0,LIE,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0
0,MLT,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0
0,BEL,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.004249119199373401
0,LUX,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.00014204276832863018
0,NLD,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0011518433150439033
0,NOR,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0076736320737449855
0,POL,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0007434000035391439
0,PRT,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.005758656702895334
0,ROU,Forest fragment increase,forest_fragment_increase,2020,Percentage share,7.829333294261345e-05
0,SVN,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.002110960997529819
0,ESP,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0038515236817607476
0,SWE,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.00885989267749285
0,CHE,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0011553010372593992
0,GBR,Forest fragment increase,forest_fragment_increase,2020,Percentage share,0.0002765163367890802
