,Region,Variable,Year,Unit,Value
0,BGR,Forest extent gain,2020,Percentage share,0.024647606566122967
0,CYP,Forest extent gain,2020,Percentage share,0.03387583032061947
0,DNK,Forest extent gain,2020,Percentage share,0.18099749646447275
0,IRL,Forest extent gain,2020,Percentage share,0.5433458278069316
0,EST,Forest extent gain,2020,Percentage share,0.06540154782194202
0,AUT,Forest extent gain,2020,Percentage share,0.007351452688318047
0,CZE,Forest extent gain,2020,Percentage share,0.024597235899472363
0,FIN,Forest extent gain,2020,Percentage share,0.06175906252279176
0,FRA,Forest extent gain,2020,Percentage share,0.04158537250855405
0,DEU,Forest extent gain,2020,Percentage share,0.028333609869700026
0,GRC,Forest extent gain,2020,Percentage share,0.015651650839301222
0,HRV,Forest extent gain,2020,Percentage share,0.022913200159631338
0,HUN,Forest extent gain,2020,Percentage share,0.10837073821238752
0,ISL,Forest extent gain,2020,Percentage share,
0,ITA,Forest extent gain,2020,Percentage share,0.018590505425969208
0,LVA,Forest extent gain,2020,Percentage share,0.08404799826915581
0,LTU,Forest extent gain,2020,Percentage share,0.10781602627447177
0,SVK,Forest extent gain,2020,Percentage share,0.013895899263857509
0,LIE,Forest extent gain,2020,Percentage share,0.006738783472246853
0,MLT,Forest extent gain,2020,Percentage share,0.0
0,BEL,Forest extent gain,2020,Percentage share,0.04621966573384013
0,LUX,Forest extent gain,2020,Percentage share,0.02838485438938333
0,NLD,Forest extent gain,2020,Percentage share,0.1329859292571385
0,NOR,Forest extent gain,2020,Percentage share,0.05340319797888522
0,POL,Forest extent gain,2020,Percentage share,0.08657692865495611
0,PRT,Forest extent gain,2020,Percentage share,0.08266722228536072
0,ROU,Forest extent gain,2020,Percentage share,0.02727433569403972
0,SVN,Forest extent gain,2020,Percentage share,0.0058477090406095665
0,ESP,Forest extent gain,2020,Percentage share,0.03358515801315294
0,SWE,Forest extent gain,2020,Percentage share,0.06404317393832719
0,CHE,Forest extent gain,2020,Percentage share,0.010519658953748168
0,GBR,Forest extent gain,2020,Percentage share,0.21520088127485176
0,BGR,Forest extent loss,2020,Percentage share,0.010034677572511934
0,CYP,Forest extent loss,2020,Percentage share,0.022367054879345503
0,DNK,Forest extent loss,2020,Percentage share,0.10454410809157973
0,IRL,Forest extent loss,2020,Percentage share,0.171796320858082
0,EST,Forest extent loss,2020,Percentage share,0.09064876313647545
0,AUT,Forest extent loss,2020,Percentage share,0.03229094395049115
0,CZE,Forest extent loss,2020,Percentage share,0.04532709947520911
0,FIN,Forest extent loss,2020,Percentage share,0.07872641625196462
0,FRA,Forest extent loss,2020,Percentage share,0.042462304079011894
0,DEU,Forest extent loss,2020,Percentage share,0.025372094544090614
0,GRC,Forest extent loss,2020,Percentage share,0.019650611501060695
0,HRV,Forest extent loss,2020,Percentage share,0.02588504748553715
0,HUN,Forest extent loss,2020,Percentage share,0.05978986780720382
0,ISL,Forest extent loss,2020,Percentage share,
0,ITA,Forest extent loss,2020,Percentage share,0.022476500446586833
0,LVA,Forest extent loss,2020,Percentage share,0.07434941961609821
0,LTU,Forest extent loss,2020,Percentage share,0.042729567430559015
0,SVK,Forest extent loss,2020,Percentage share,0.02764808181653287
0,LIE,Forest extent loss,2020,Percentage share,0.026068451853165454
0,MLT,Forest extent loss,2020,Percentage share,0.0
0,BEL,Forest extent loss,2020,Percentage share,0.046434474404950146
0,LUX,Forest extent loss,2020,Percentage share,0.025225130338617095
0,NLD,Forest extent loss,2020,Percentage share,0.04821621368569197
0,NOR,Forest extent loss,2020,Percentage share,0.06824855824966874
0,POL,Forest extent loss,2020,Percentage share,0.03898505817295438
0,PRT,Forest extent loss,2020,Percentage share,0.14025662638431136
0,ROU,Forest extent loss,2020,Percentage share,0.011250380807724843
0,SVN,Forest extent loss,2020,Percentage share,0.009938535888681545
0,ESP,Forest extent loss,2020,Percentage share,0.03165474917245505
0,SWE,Forest extent loss,2020,Percentage share,0.1020046519018479
0,CHE,Forest extent loss,2020,Percentage share,0.020187558317710606
0,GBR,Forest extent loss,2020,Percentage share,0.18422695602227604
