,Region,Variable,Var_uid,Year,Unit,Value
0,BGR,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.018401801726050077
0,CYP,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.035627165713856816
0,DNK,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.04400537017926079
0,IRL,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.11939795859523673
0,EST,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.07864752200092635
0,AUT,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.06922192516876328
0,CZE,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.06676125486816122
0,FIN,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.07166585264432823
0,FRA,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.09892309011585879
0,DEU,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.08452630401309214
0,GRC,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.14678303458291211
0,HRV,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.052245758072361814
0,HUN,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.044330213430423364
0,ISL,Forest type: Undefined,forest_type_undefined,2020,Percentage share,
0,ITA,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.07619136468986755
0,LVA,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.06203110212729189
0,LTU,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.05558109726849291
0,SVK,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.052783439198848876
0,LIE,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.1259088490867175
0,MLT,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.0
0,BEL,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.16518786808360833
0,LUX,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.10446837642845858
0,NLD,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.21869779063881584
0,NOR,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.04450417625109539
0,POL,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.055403192273093683
0,PRT,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.2369690053162607
0,ROU,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.03027014373365964
0,SVN,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.04771417957027582
0,ESP,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.11049096572704993
0,SWE,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.06083366567978615
0,CHE,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.10125024611143925
0,GBR,Forest type: Undefined,forest_type_undefined,2020,Percentage share,0.1701881588403577
0,BGR,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.729393156978354
0,CYP,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.04851199039267442
0,DNK,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.4462408745174483
0,IRL,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.1928539299925033
0,EST,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.40028195361930413
0,AUT,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.15792080383824111
0,CZE,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.23497703705946146
0,FIN,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.06741012311958247
0,FRA,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.6109997462842693
0,DEU,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.32609906991902254
0,GRC,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.5764258866409442
0,HRV,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.8379999174320655
0,HUN,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.8618931843454437
0,ISL,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,
0,ITA,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.7331850930044465
0,LVA,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.39493353871233083
0,LTU,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.3781573794726758
0,SVK,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.6109072870747101
0,LIE,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.18957261925873384
0,MLT,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.09999999999999999
0,BEL,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.5082253820312547
0,LUX,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.6100242245510559
0,NLD,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.3657339813267871
0,NOR,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.2578390066733147
0,POL,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.2703894434409133
0,PRT,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.5654122627571315
0,ROU,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.7087363623798872
0,SVN,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.5805858629332117
0,ESP,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.4360200343260793
0,SWE,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.09070077901609176
0,CHE,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.2950009416437676
0,GBR,Forest type: Broadleaved,forest_type_broadleaved,2020,Percentage share,0.3537941157699917
0,BGR,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.1613137754917126
0,CYP,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.7839477601671275
0,DNK,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.30931802545579634
0,IRL,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.513165330719105
0,EST,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.32453131393984086
0,AUT,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.590811676812612
0,CZE,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.502220611620904
0,FIN,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.709056145419301
0,FRA,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.17727075578939613
0,DEU,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.41271955591322124
0,GRC,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.16815496106040975
0,HRV,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.05652433271048391
0,HUN,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.04201290370377758
0,ISL,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,
0,ITA,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.11921507800464516
0,LVA,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.3456197871415421
0,LTU,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.3670457732542443
0,SVK,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.2118239447107904
0,LIE,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.47579358042206066
0,MLT,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.39999999999999997
0,BEL,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.18149840981914303
0,LUX,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.1054952867449576
0,NLD,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.2466373879738891
0,NOR,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.4588484893805947
0,POL,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.5066839753711125
0,PRT,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.08746101198368501
0,ROU,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.1729145666462363
0,SVN,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.195743013422323
0,ESP,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.31313596222745305
0,SWE,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.7024001878612348
0,CHE,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.3597325303680115
0,GBR,Forest type: Coniferous,forest_type_coniferous,2020,Percentage share,0.36946671217330257
0,BGR,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.09095686614486005
0,CYP,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.1327762418844369
0,DNK,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.2014056109773344
0,IRL,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.17506487515137537
0,EST,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.195447820592957
0,AUT,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.1821317440165748
0,CZE,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.19654060050894212
0,FIN,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.14945813073509845
0,FRA,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.11268300487304293
0,DEU,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.17676370300750863
0,GRC,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.10882440878739126
0,HRV,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.053393931017482264
0,HUN,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.05174090297432011
0,ISL,Forest type: Mixed,forest_type_mixed,2020,Percentage share,
0,ITA,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.07179510060575184
0,LVA,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.19566941964331275
0,LTU,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.19476450220308197
0,SVK,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.12276942102447995
0,LIE,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.2207838269196666
0,MLT,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.7
0,BEL,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.14440662088059622
0,LUX,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.17751066406867136
0,NLD,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.16788336117832597
0,NOR,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.23851838799797423
0,POL,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.1668679885653659
0,PRT,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.11051129547549596
0,ROU,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.08780358787812127
0,SVN,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.17569464295464546
0,ESP,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.14027695324861922
0,SWE,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.14614391752077086
0,CHE,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.2424529392126146
0,GBR,Forest type: Mixed,forest_type_mixed,2020,Percentage share,0.10538004977982002
